id,title,description,business_name,category,source_url,source_name,location_name,address,city,start_date,end_date,recurring_pattern,deal_type,discount_text,tags,image_url,latitude,longitude,is_student_friendly,created_at,updated_at,raw_source_text,canonical_url,event_scope,area_label
7738270ed79b2903bbc5,Aggieland Farmers Market,This is the Aggieland Farmers Market located in the Post Oak Mall parking lot in front of Murdoch’s. We are open every Saturday rain or shine. We are an 80-20,,Food,https://visit.cstx.gov/events/aggieland-farmers-market/,visit_cstx_events,,Aggieland Farmers Market,College Station,2026-01-24 09:00:00-06:00,2026-01-24 13:00:00-06:00,weekly:SA,market,,College Station,https://visit.cstx.gov/imager/files_idss_com/C485/c14702cb-26bf-4371-9046-4aeb6cbc7c17_91852798b59be8b28fc00edfe4aec23a.jpg,,,True,2026-05-11 23:43:54.430029,2026-05-11 23:43:54.430029,"Aggieland Farmers Market Go To Website Save Aggieland Farmers Market 1500 Harvey Rd College Station, Texas 77840 United States Details Open in Google Maps Map May 16, 2026 9:00 AM – 1:00 PM Every Saturday rain or shine Aggieland Farmers Market Aggieland Farmers Market 1500 Harvey Rd College Station, Texas 77840 Admission Free Overview This is the Aggieland Farmers Market located in the Post Oak Mall parking lot in front of Murdoch’s. We are open every Saturday rain or shine. We are an 80-20 market, so 80% farmers and 20% others. There are all kinds of items to get like fresh veggies, meats, jams & jellies, all kinds of fresh bread, baked goodies, freeze dried products and live music. Upcoming Dates Saturday, May 16 Saturday, May 23 Saturday, May 30 Saturday, June 6 Saturday, June 13 Saturday, June 20 Saturday, June 27 Saturday, July 4 Saturday, July 11 Saturday, July 18 Saturday, July 25 Saturday, August 1 Saturday, August 8 Saturday, August 15 Saturday, August 22 Saturday, August 29 Saturday, September 5 Saturday, September 12 Saturday, September 19 Saturday, September 26 Saturday, October 3 Saturday, October 10 Saturday, October 17 Saturday, October 24 Saturday, October 31 Saturday, November 7 Saturday, November 14 Saturday, November 21 Saturday, November 28 Saturday, December 5 Saturday, December 12 Saturday, December 19 Saturday, December 26",https://visit.cstx.gov/events/aggieland-farmers-market,event,College Station
4f2cf940d4faa762c4ff,Mother's Day Brunch at The LaSalle Hotel,"The LaSalle is hosting a special mother's day brunch! Enjoy a delicious menu, great drinks, and a warm, relaxing atmosphere perfect for spending time with","The LaSalle Hotel, a Tribute Portfolio Hotel, Bryan College Station",Miscellaneous,https://www.destinationbryan.com/events/mothers-day-brunch-at-the-lasalle-hotel/,destination_bryan_events,"The LaSalle Hotel, a Tribute Portfolio Hotel, Bryan College Station",120 South Main Street,Bryan,2026-05-10 07:00:00,2026-05-10 14:00:00,,event,,"Bryan | The LaSalle Hotel, a Tribute Portfolio Hotel, Bryan College Station | Downtown Bryan",https://iti-images.s3.amazonaws.com/events/903e11a5-f694-e048-eca8-aef304eb4696.webp,,,True,2026-05-11 23:45:27.921233,2026-05-11 23:45:27.921233,"Mother's Day Brunch at The LaSalle Hotel Sunday, May 10, 2026 7:00 AM – 2:00 PM 120 South Main Street Bryan, TX 77803 Website Mother's Day Brunch at The LaSalle Hotel The LaSalle Hotel, a Tribute Portfolio Hotel, Bryan College Station 120 South Main Street Bryan, TX 77803 Details Open in Google Maps Map Save The LaSalle is hosting a special mother's day brunch! Enjoy a delicious menu, great drinks, and a warm, relaxing atmosphere perfect for spending time with family. Click here to view the menu. Reservations are highly recommended. Related The LaSalle Hotel Community, history, and celebration converge at The LaSalle Hotel, a cherished testament to the spirit of Bryan, Texas. Relax in one of our newly renovated guest rooms and dine and unwind at… Learn More >>>",https://destinationbryan.com/events/mothers-day-brunch-at-the-lasalle-hotel,event,Downtown Bryan
eafa1efdbacdddcc13d0,Mother's Day Cake Picnic at the Astin Mansion,"Join us for a meaningful and joy-filled Cake Picnic for a Cause, where community, connection, and giving back come together. Guests are invited to bring a cake",Astin Mansion,Miscellaneous,https://www.destinationbryan.com/events/astin-mansions-mothers-day-cake-picnic/,destination_bryan_events,Astin Mansion,506 W 26th St,Bryan,2026-05-10 13:00:00,2026-05-10 14:00:00,,event,,Bryan | Astin Mansion | Downtown Bryan,/imager/cmsimages/1378031/b27107c3-f1e2-4313-843a-e95f63d142bf_1920x2344_91852798b59be8b28fc00edfe4aec23a.png,,,True,2026-05-11 23:45:29.952878,2026-05-11 23:45:29.952878,"Mother's Day Cake Picnic at the Astin Mansion Sunday, May 10, 2026 1:00 PM – 2:00 PM 506 W 26th St Bryan , TX 77803 (979) 822-9999 Admission : $5 (and a cake!) Website Buy Tickets Email Mother's Day Cake Picnic at the Astin Mansion 506 W 26th St Bryan , TX 77803 Details Open in Google Maps Map Save Join us for a meaningful and joy-filled Cake Picnic for a Cause, where community, connection, and giving back come together. Guests are invited to bring a cake to share and a $5 entry fee, which includes a to-go box you can fill with your favorite slices. In addition to our signature cake picnic, enjoy a variety of local vendors, crafts, dirty sodas, a beautiful flower bar, and delicious tacos. The event will also feature a silent auction, with 50% of entry proceeds and 100% of silent auction proceeds directly supporting Peacock Legacy of Hope. Peacock Legacy of Hope is a nonprofit organization based in the Bryan–College Station area that has been providing housing and life-skills training for single moms and their families for the past five years. Their mission is to empower single mothers and their children through Christian support and transitional housing. By attending, you’re not only enjoying a fun and unique event, you’re helping create lasting change for families in our community.",https://destinationbryan.com/events/astin-mansions-mothers-day-cake-picnic,event,Downtown Bryan
53c8c711aa90e08e9d4a,Texas America250 Exhibit at the Carnegie History Center,"The Texas America250 exhibit highlights historically significant Texas Treasures from the State Archives, encouraging all Americans to explore the story of the",Carnegie History Center,Entertainment,https://www.destinationbryan.com/events/texas-america250-at-carnegie-history-center-2/,destination_bryan_events,Carnegie History Center,111 South Main Street,Bryan,2026-05-11 09:00:00,2026-05-11 10:00:00,,event,,Bryan | Downtown Bryan | Carnegie History Center,/imager/cmsimages/downloads/1217379/Carnegie-Statues-medium_91852798b59be8b28fc00edfe4aec23a.jpg,30.6729629,-96.3731891,True,2026-05-11 23:45:18.848252,2026-05-11 23:45:18.848252,"Texas America250 Exhibit at the Carnegie History Center Monday, May 11, 2026 9:00 AM – 10:00 AM Recurring Dates 111 South Main Street Bryan, TX 77803 Website Texas America250 Exhibit at the Carnegie History Center 111 South Main Street Bryan, TX 77803 Details Open in Google Maps Map Save The Texas America250 exhibit highlights historically significant Texas Treasures from the State Archives, encouraging all Americans to explore the story of the Lone Star State over the past 250 years. From Spanish missions to the space race, the landscape, culture, economy and people of Texas have played essential roles in the development of the United States. Upcoming Dates Tuesday, May 12 Wednesday, May 13 Thursday, May 14 Friday, May 15 Monday, May 18 Tuesday, May 19 Wednesday, May 20 Thursday, May 21 Friday, May 22 Monday, May 25 Tuesday, May 26 Wednesday, May 27 Thursday, May 28 Friday, May 29 Monday, June 1 Tuesday, June 2 Wednesday, June 3 Thursday, June 4 Friday, June 5 Monday, June 8 Tuesday, June 9 Wednesday, June 10 Thursday, June 11 Friday, June 12 Monday, June 15 Tuesday, June 16 Wednesday, June 17 Thursday, June 18 Friday, June 19 Monday, June 22 Tuesday, June 23 Wednesday, June 24 Thursday, June 25 Friday, June 26 Monday, June 29 Tuesday, June 30 Wednesday, July 1 Thursday, July 2 Friday, July 3 Monday, July 6 Tuesday, July 7 Wednesday, July 8 Thursday, July 9 Friday, July 10 Monday, July 13 Tuesday, July 14 Wednesday, July 15 Thursday, July 16 Friday, July 17 Monday, July 20 Tuesday, July 21 Wednesday, July 22 Thursday, July 23 Friday, July 24 Monday, July 27 Tuesday, July 28 Wednesday, July 29 Thursday, July 30 Friday, July 31 Related Carnegie History Center Located on Main Street in Historical Downtown Bryan, the Carnegie History Center is a hub for research, local history, and genealogy at no cost. As part of the Bryan-College Station Public Library… Learn More >>>",https://destinationbryan.com/events/texas-america250-at-carnegie-history-center-2,event,Downtown Bryan
9feb339e07de7d7695a6,Man Cave Mondays at The Angry Elephant,"Kick off Monday night with cold drinks, good company, prizes, and fun before Monday Night Football! 🍺 $3 Wells🍺 $3 Domestic Drafts🍺 $4",The Angry Elephant,Miscellaneous,https://www.destinationbryan.com/events/man-cave-monday-at-the-angry-elephant/,destination_bryan_events,The Angry Elephant,4282 Boonville Road,Bryan,2026-05-11 17:30:00,2026-05-11 19:30:00,,discount,,Bryan | The Angry Elephant,/imager/cmsimages/1303591/Angry-Elephant-Bryan-Texas-Facebook_91852798b59be8b28fc00edfe4aec23a.jpg,30.6618245,-96.3034614,True,2026-05-11 23:45:09.787357,2026-05-11 23:45:09.787357,"Man Cave Mondays at The Angry Elephant Monday, May 11, 2026 5:30 PM – 7:30 PM Recurring Dates (979) 485-2450 Admission : Free Website Man Cave Mondays at The Angry Elephant 4282 Boonville Rd Bryan, Texas 77802 Details Open in Google Maps Map Save Kick off Monday night with cold drinks, good company, prizes, and fun before Monday Night Football! 🍺 $3 Wells 🍺 $3 Domestic Drafts 🍺 $4 All Other Drafts 🍗 $1.25 Wings 🔥 Wing Eating Contest at 7! Upcoming Dates Monday, May 18 Monday, May 25 Monday, June 1 Monday, June 8 Monday, June 15 Monday, June 22 Monday, June 29 Monday, July 6 Monday, July 13 Monday, July 20 Monday, July 27 Monday, August 3 Monday, August 10 Monday, August 17 Monday, August 24 Monday, August 31 Monday, September 7 Monday, September 14 Monday, September 21 Monday, September 28 Monday, October 5 Monday, October 12 Monday, October 19 Monday, October 26 Monday, November 2 Monday, November 9 Monday, November 16 Monday, November 23 Monday, November 30 Monday, December 7 Monday, December 14 Monday, December 21 Monday, December 28 Monday, January 4 Monday, January 11 Related The Angry Elephant A politically themed, high end cocktail bar with some of the best hot dogs you’ll ever have! Learn More >>>",https://destinationbryan.com/events/man-cave-monday-at-the-angry-elephant,event,Bryan
9575ae6ca82f4af7ead5,Half-Baked Presentations at Quinntastic Bites,"Welcome to Half-Baked Presentations, a monthly PowerPoint Party from 6-8 p.m. on the second Monday of the month. Join us for an evening of laughter,",Quinntastic Bites,Entertainment,https://www.destinationbryan.com/events/half-baked-presentations-quinntastic-bites/,destination_bryan_events,Quinntastic Bites,"419 N Main St., Suite 110",Bryan,2026-05-11 18:00:00,2026-05-11 20:00:00,monthly:second_MON,event,,Bryan | Quinntastic Bites | Downtown Bryan,/imager/cmsimages/downloads/1226349/Screenshot-2025-09-15-at-11.09.53-AM_91852798b59be8b28fc00edfe4aec23a.png,,,True,2026-05-11 23:45:19.891864,2026-05-11 23:45:19.891864,"Half-Baked Presentations at Quinntastic Bites Monday, May 11, 2026 6:00 PM – 8:00 PM Recurring Dates 419 N Main St., Suite 110 Bryan, TX 77803 (512) 560-9912 Admission : Free Email Half-Baked Presentations at Quinntastic Bites Quinntastic Bites 419 N Main St., Suite 110 Bryan, TX 77803 Details Open in Google Maps Map Save Welcome to Half-Baked Presentations, a monthly PowerPoint Party from 6-8 p.m. on the second Monday of the month. Join us for an evening of laughter, camaraderie and maybe even some education. If you’ve never attended a PowerPoint Party before, no worries. All you need to know is that they’re casual, short and fun presentations. The emphasis is on creativity, humor and personal passion—not professional polish. You don't have to submit a presentation to attend. Everyone's invited to come and watch the fun! Upcoming Dates Monday, June 8 Monday, July 13 Monday, August 10 Monday, September 14 Monday, October 12 Monday, November 9",https://destinationbryan.com/events/half-baked-presentations-quinntastic-bites,event,Downtown Bryan
c11fd0fa11d3ff48fc97,Steadfast Run Club,"Lace up and join the Steadfast Run Club every Tuesday at 6 PM for a fun, community-driven run through Century Square! Choose between a 2- or 3-mile route, then stick around on The Green to cool down and hang out. Plus, every first Tuesday of the month, the lululemon run club joins in for an even bigger crew. All paces are welcome—come run with us!",Century Square,Health & Wellness,https://www.century-square.com/events/detail/tuesday-run-club4,century_square_events,Century Square - College Station,75 Century Square Dr,College Station,2026-05-11 18:00:00,2026-05-11 19:30:00,weekly:TU,fitness,,Century Square | College Station,https://www.century-square.com/uploads/img/events/image_-_5539195.jpg,,,True,2026-05-11 23:46:33.901222,2026-05-11 23:46:33.901222,"Steadfast Run Club Hit the ground running with Steadfast Run Club every Tuesday at 6 PM, then stick around for the post-run hangout on The Green! Lace up and join the Steadfast Run Club every Tuesday at 6 PM for a fun, community-driven run through Century Square! Choose between a 2- or 3-mile route, then stick around on The Green to cool down and hang out. Plus, every first Tuesday of the month, the lululemon run club joins in for an even bigger crew. All paces are welcome—come run with us!",https://century-square.com/events/detail/tuesday-run-club4,event,Century Square
a972e283c5d67455b72f,"""The Devil Wears Prada 2"" at The Queen Theatre","Enjoy a movie at The Queen Theatre in Historic Downtown Bryan. This historic theatre opened in 1939 as one of the finest movie houses in Texas. Today, it's",The Queen Theatre,Miscellaneous,https://www.destinationbryan.com/events/devil-wears-prada-2-at-the-queen-theatre-/,destination_bryan_events,The Queen Theatre,110 South Main Street,Bryan,2026-05-12 18:00:00,2026-05-12 20:30:00,,event,,Bryan | Downtown Bryan | The Queen Theatre,/imager/cmsimages/450570/The-Queen_91852798b59be8b28fc00edfe4aec23a.jpg,30.6732433,-96.3737987,True,2026-05-11 23:45:25.916199,2026-05-11 23:45:25.916199,"""The Devil Wears Prada 2"" at The Queen Theatre Tuesday, May 12, 2026 6:00 PM – 8:30 PM Recurring Dates 110 South Main Street Bryan, TX 77803 (979) 721-9978 Admission : $11 Website Buy Tickets ""The Devil Wears Prada 2"" at The Queen Theatre The Queen Theatre 110 South Main Street Bryan, TX 77803 Details Open in Google Maps Map Save Enjoy a movie at The Queen Theatre in Historic Downtown Bryan. This historic theatre opened in 1939 as one of the finest movie houses in Texas. Today, it's been reborn to live up to that standard again. The Queen Theatre is an intimate movie theater with comfortable reclining chairs and a full-service kitchen. Here, you can sit back, relax, and enjoy new Blockbuster hits and classic favorite films throughout the year. About The Devil Wears Prada 2 : Miranda Priestly navigates her career amid the decline of traditional magazine publishing. She faces off against Emily Charlton, her one-time assistant, now a high-powered executive for a luxury group, with advertising dollars that Priestly desperately needs. Movie times vary. Check The Queen's website for movie times. Upcoming Dates Tuesday, May 12 Related The Queen Theatre Learn More >>>",https://destinationbryan.com/events/devil-wears-prada-2-at-the-queen-theatre-,event,Downtown Bryan
967e636bb0c4533d2393,Singo at Billy's Grille & Bar,"Don't miss SINGO Tuesdays at 7 PM at Billy’s Grille & Bar! Get ready for a night of music, fun, and friendly competition! Join us every Tuesday at 7 PM for",Billy's Grille & Bar,Miscellaneous,https://www.destinationbryan.com/events/singo-at-billys-grille-bar/,destination_bryan_events,Billy's Grille & Bar,100 S Main Street,Bryan,2026-05-12 19:00:00,2026-05-12 22:00:00,"weekly:TU,FR",event,,Bryan | Downtown Bryan | Billy's Grille & Bar,/imager/cmsimages/1061331/Singo-Billys_91852798b59be8b28fc00edfe4aec23a.png,,,True,2026-05-11 23:45:11.806149,2026-05-11 23:45:11.806149,"Singo at Billy's Grille & Bar Tuesday, May 12, 2026 7:00 PM – 10:00 PM Recurring Dates 100 S Main Street Bryan, TX 77803 Admission : Free Website Email Singo at Billy's Grille & Bar Billy's Grille & Bar 100 S Main Street Bryan, TX 77803 Details Open in Google Maps Map Save Don't miss SINGO Tuesdays at 7 PM at Billy’s Grille & Bar! Get ready for a night of music, fun, and friendly competition! Join us every Tuesday at 7 PM for SINGO—a thrilling twist on bingo where your favorite songs fill the air! ✅ FREE to play 👨‍👩‍👧‍👦 All ages welcome 🍔 Delicious food & unbeatable drink specials Bring your crew, test your music knowledge, and sing along while you play! Don’t miss out on the best Tuesday night vibes in town! Upcoming Dates Tuesday, May 12 Tuesday, May 19 Tuesday, May 26 Tuesday, June 2 Tuesday, June 9 Tuesday, June 16 Tuesday, June 23 Tuesday, June 30 Tuesday, July 7 Tuesday, July 14 Tuesday, July 21 Tuesday, July 28 Tuesday, August 4 Tuesday, August 11 Tuesday, August 18 Tuesday, August 25 Tuesday, September 1 Tuesday, September 8 Tuesday, September 15 Tuesday, September 22 Tuesday, September 29 Tuesday, October 6 Tuesday, October 13 Tuesday, October 20 Tuesday, October 27 Tuesday, November 3 Tuesday, November 10 Tuesday, November 17 Tuesday, November 24 Tuesday, December 1 Tuesday, December 8 Tuesday, December 15 Tuesday, December 22 Tuesday, December 29 Related Billy's Grille & Bar Serving Historic Downtown Bryan - Billy's Grille & Bar is a family-owned American restaurant offering breakfast, lunch, dinner, and homemade desserts! Learn More >>>",https://destinationbryan.com/events/singo-at-billys-grille-bar,event,Downtown Bryan
9f4bcbaff2957b28f937,Open Mic Night at The Angry Elephant,Sing your heart out during Open Mic at The Angry Elephant!,The Angry Elephant,Entertainment,https://www.destinationbryan.com/events/open-mic-night-at-the-angry-elephant/,destination_bryan_events,The Angry Elephant,4282 Boonville Road,Bryan,2026-05-12 19:00:00+00:00,2026-05-12 22:00:00+00:00,,open_mic,,Bryan | The Angry Elephant,/imager/cmsimages/1015414/kane-reinholdtsen-LETdkk7wHQk-unsplash_91852798b59be8b28fc00edfe4aec23a.jpg,30.6618245,-96.3034614,True,2026-05-11 23:45:01.659311,2026-05-11 23:45:01.659311,Open Mic Night at The Angry Elephant | Destination Bryan Skip to content 77° Upcoming Events 0 Saved Navigation,https://destinationbryan.com/events/open-mic-night-at-the-angry-elephant,event,Bryan
